Boxer,Date,Venue,Purse,lnRPurse,weight,Age,Wins,Losses,KO,W-Title,PPV,ESPN,HBO,FOX,TopRank,GoldenBoy,RDS,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Bloomfield, Villi",2009.03.06,Orleans Hotel,1500,7.44889098743946,246,27.2812785388126,9,3,4,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Battease, Brian D.",2009.03.06,Orleans Hotel,1000,7.0434258793313,124,25.5,3,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Hidalgo, Isaac",2009.03.06,Orleans Hotel,1000,7.0434258793313,124,20.2757990867547,2,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Barragan, Victor",2009.03.06,Orleans Hotel,1800,7.63121254423341,199,27.5,9,4,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Namauu, Henry CJ",2009.03.06,Orleans Hotel,1500,7.44889098743946,199,24.5,3,2,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Scott, DeMark J.",2009.03.06,Orleans Hotel,1000,7.0434258793313,174,27.9166666666667,2,2,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Caldwell, Caleb",2009.03.06,Orleans Hotel,1000,7.0434258793313,175,24.75,2,4,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Fletes, Carlos",2009.03.06,Orleans Hotel,1000,7.0434258793313,232,39.0833333333333,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Tribolet, Beau J.",2009.03.06,Orleans Hotel,1000,7.0434258793313,243,34.3004566210045,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"McCall, Elijah K.",2009.03.06,Orleans Hotel,1000,7.0434258793313,224,21,2,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Morales, Alvaro",2009.03.06,Orleans Hotel,1400,7.37989811595251,300,25.6666666666667,3,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Arreola, Cristobal",2009.04.11,Mandalay Bay,400000,13.0348904264393,255,28.0833333333333,26,0,23,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0
"Estrada, Shawn",2009.04.11,Mandalay Bay,2500,7.95971661120545,164.5,24,3,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Dallas, Michael Jnr.",2009.04.11,Mandalay Bay,2000,7.73657305989124,139,22.3646118721429,6,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Jett, Terrance M.",2009.04.11,Mandalay Bay,2000,7.73657305989124,139,34,4,12,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"McEwan, Craig",2009.04.11,Mandalay Bay,10000,9.34601097232534,161,27,13,0,8,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0
"de Oca, Juan P.",2009.04.11,Mandalay Bay,6000,8.83518534855935,155,28.8333333333333,9,15,6,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0
"Ramos, Rico D.",2009.04.11,Mandalay Bay,2000,7.73657305989124,123,21.8333333333333,8,0,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Garcia, Danny",2009.04.11,Mandalay Bay,7000,8.98933602838661,143,21.0833333333333,11,0,7,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0
"Ouali, Said",2009.04.17,Buffalo Bills Arena,20000,10.0391581528853,146,29.9166666666665,25,2,17,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0
"Gonzalez, Mario",2009.04.17,Buffalo Bills Arena,1250,7.26656943064551,116.5,20.25,0,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Pacheco, Jose",2009.04.17,Buffalo Bills Arena,1250,7.26656943064551,117,24.8333333333333,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Gamboa, Yuriorkis",2009.04.17,Buffalo Bills Arena,90000,11.5432355496616,125.5,27.3536529680362,14,0,12,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0
"Lenk, Anthony M.",2009.04.17,Buffalo Bills Arena,1500,7.44889098743946,142,21.4029680365263,5,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Vargas, Jessie",2009.04.17,Buffalo Bills Arena,1500,7.44889098743946,142,19.9166666666665,4,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Stovall, Ivan",2009.04.17,Buffalo Bills Arena,2000,7.73657305989124,167,29.9166666666665,10,3,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Perez, Alejandro",2009.05.01,South Point Hotel,12500,9.56915452363955,122,23,13,1,8,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0
"Landeros, Adolfo",2009.05.01,South Point Hotel,7500,9.05832889987356,122,29.4835616438356,20,11,9,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0
"Reynoso, Jose L.",2009.05.01,South Point Hotel,3000,8.1420381679994,141,24.6666666666667,10,2,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
"Armenta, Rodolfo",2009.05.01,South Point Hotel,1800,7.63121254423341,139,24.75,6,1,4,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Harris, Tyrone P.",2009.05.01,Hard Rock,8000,9.12286742101113,135,28.1666666666667,23,4,15,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0
"Gomez, Alfonso S.",2009.05.01,Hard Rock,15000,9.75147608043351,149,28.5833333333335,18,4,8,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0
"Farenas, Michael H.",2009.05.01,Hard Rock,6000,8.83518534855935,127,24.9166666666667,24,2,21,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0
"Estrada, Walter",2009.05.01,Hard Rock,5000,8.6528637917654,127,33,35,9,24,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0
"Laurente, Dennis K.",2009.05.01,Hard Rock,6000,8.83518534855935,139.5,31.8333333333335,33,4,17,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0
"Tapia, Glen",2009.05.01,Hard Rock,1500,7.44889098743946,154,19.4698630136986,1,0,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0
"Melligen, Mark J.",2009.05.01,Hard Rock,4000,8.42972024045119,141,23.0833333333335,13,1,10,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0
"Montano, Ramon C.",2009.05.01,Hard Rock,3500,8.29618884782666,140,26.5,17,6,2,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0
"Magdaleno, Diego",2009.05.01,Hard Rock,3500,8.29618884782666,129.5,22.5833333333335,8,0,3,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0
"Santiago, Juan F.",2009.05.01,Hard Rock,2750,8.05502679100978,131,24.25,7,1,5,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0
"Marroquin, Roberto",2009.05.01,Hard Rock,3500,8.29618884782666,123.5,19.75,5,0,4,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0
"Alvarado, Mike A.",2009.05.02,MGM Grand,13400,9.63868058628816,142,28.8333333333335,25,0,18,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0
"Korobov, Matvey",2009.05.02,MGM Grand,5000,8.6528637917654,161.5,26.3333333333335,4,0,4,0,1,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0
"Bartinelli, Anthony",2009.05.02,MGM Grand,4000,8.42972024045119,161,29.486301369863,20,12,13,0,1,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0
"Concepcion, Bernabe",2009.05.02,MGM Grand,20000,10.0391581528853,126,21.3333333333335,27,2,16,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0
"Herrera, Yogli J.",2009.05.02,MGM Grand,4000,8.42972024045119,126,26.8333333333335,22,7,15,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0
"Chavez, Omar",2009.05.02,MGM Grand,3000,8.1420381679994,144.5,19.3333333333335,14,0,10,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0
"Ziolowski, Tyler",2009.05.02,MGM Grand,3000,8.1420381679994,142,22.6666666666667,11,6,6,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0
"Lara, Erislandy",2009.05.02,MGM Grand,5000,8.6528637917654,155,26.0833333333335,4,0,3,0,1,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0
"Gray, Christopher J.",2009.05.02,MGM Grand,3500,8.29618884782666,156,33.1666666666667,11,7,1,0,1,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0
"Pacquiao, Emmanuel",2009.05.02,MGM Grand,7400000,15.9526611585236,138,30.4534246575342,48,3,36,0,1,0,1,0,1,0,12,1,0,0,0,0,0,0,0,0
"Soto, Humberto",2009.05.02,MGM Grand,100000,11.6485960653194,129,29,46,7,30,1,1,0,1,0,1,0,12,1,0,0,0,0,0,0,0,0
"Mares, Abner",2009.05.02,MGM Grand,25000,10.2623017041995,119,23.5,17,0,10,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0
"Perez, Jonathan",2009.05.02,MGM Grand,5000,8.6528637917654,120,22.25,14,5,11,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0
"Zepeda, Ernesto",2009.05.02,MGM Grand,10000,9.34601097232534,146,32.4643835616439,39,11,34,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0
"Jacobs, Daniel",2009.05.02,MGM Grand,30000,10.4446232609935,163,22.25,15,0,14,0,1,0,1,0,0,1,8,1,0,0,0,0,0,0,0,0
"Walker, Michael O.",2009.05.02,MGM Grand,20000,10.0391581528853,162,30.5,19,1,12,0,1,0,1,0,0,1,8,1,0,0,0,0,0,0,0,0
"Bogere, Sharif",2009.05.08,Plaza Hotel,1500,7.44889098743946,136,20.5833333333335,7,0,4,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Herrera, Marcos R.",2009.05.08,Plaza Hotel,1400,7.37989811595251,135,21.0833333333335,5,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Del Real, Gabriel",2009.05.08,Plaza Hotel,1200,7.22574743612525,152,22.8333333333335,3,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Gorges, Andre F.",2009.05.08,Plaza Hotel,800,6.82028232801709,146,24.0833333333335,7,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Smith, Ishe O.",2009.05.08,Plaza Hotel,1000,7.0434258793313,164,30.8333333333335,20,3,9,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Gray, Christopher J.",2009.05.08,Plaza Hotel,4000,8.42972024045119,163.5,33.1666666666667,11,8,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Smith, Lonnie M.",2009.05.08,Plaza Hotel,1200,7.22574743612525,133.5,22.1666666666667,6,2,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Tribolet, Beau J.",2009.05.08,Plaza Hotel,1200,7.22574743612525,246,34.4671232876713,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Bogere, Sharif",2009.05.16,Buffalo Bills Arena,2000,7.73657305989124,137.5,20.5833333333335,8,0,5,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0
"Lopez, Alejandro",2009.05.16,Buffalo Bills Arena,1000,7.0434258793313,126,21.75,13,0,4,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0
"Marroquin, Roberto",2009.05.16,Buffalo Bills Arena,3500,8.29618884782666,123,19.75,6,0,5,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0
"Martirosyan, Vanes N.",2009.05.16,Buffalo Bills Arena,15000,9.75147608043351,154,23,23,0,14,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0
"Garcia, Mikey",2009.05.16,Buffalo Bills Arena,12500,9.56915452363955,126,21.4589041095858,16,0,13,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0
"Napunyi, Anthony",2009.05.16,Buffalo Bills Arena,4500,8.54750327610757,123.5,26.5833333333335,14,5,7,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0
"Magdaleno, Diego",2009.05.16,Buffalo Bills Arena,3500,8.29618884782666,134,22.5833333333335,9,0,3,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0
"Montiel, Juan Manuel",2009.05.16,Buffalo Bills Arena,1500,7.44889098743946,133,25.9166666666667,2,2,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0
"Rios, Brandon L.",2009.05.16,Buffalo Bills Arena,12500,9.56915452363955,135.5,23.0833333333335,19,0,13,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0
"Battease, Brian D.",2009.05.22,Orleans Hotel,1000,7.0434258793313,126,25.6666666666667,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Guillen, Robert S.",2009.05.22,Orleans Hotel,1000,7.0434258793313,124,32.9166666666667,4,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Frazier, Johnny D.",2009.05.22,Orleans Hotel,1000,7.0434258793313,134.5,31.25,2,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"McFadden, Isaiah S.",2009.05.22,Orleans Hotel,1000,7.0434258793313,167.5,25.25,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Caldwell, Caleb",2009.05.22,Orleans Hotel,1000,7.0434258793313,169,24.9166666666667,2,5,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Goins, Michael J.",2009.05.22,Orleans Hotel,1000,7.0434258793313,213,34.75,1,2,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Fletes, Carlos",2009.05.22,Orleans Hotel,1000,7.0434258793313,221,39.25,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"McCall, Elijah K.",2009.05.22,Orleans Hotel,1000,7.0434258793313,222,21.1666666666667,2,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Davis, Chad J.",2009.05.22,Orleans Hotel,1200,7.22574743612525,221,30.4424657534248,1,2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Gonzalez, Joel",2009.05.22,Orleans Hotel,1000,7.0434258793313,145,31.8333333333335,2,3,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Hughes, Lawrence L.",2009.05.22,Orleans Hotel,1000,7.0434258793313,142,25.1666666666667,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Liles, Patrick M.",2009.05.22,Orleans Hotel,1500,7.44889098743946,189,31.0833333333335,7,1,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Namauu, Henry CJ",2009.05.22,Orleans Hotel,1500,7.44889098743946,197,24.6666666666667,3,3,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Pacheco, Jose",2009.05.24,Buffalo Bills Arena,1250,7.26656943064551,122.5,24.9166666666667,1,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Gonzalez, Mario",2009.05.24,Buffalo Bills Arena,1250,7.26656943064551,117.5,20.3333333333335,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"de Oca, Juan P.",2009.07.03,South Point Hotel,1000,7.0434258793313,154,29.0833333333333,9,16,6,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"Pacheco, Jose",2009.07.03,South Point Hotel,1500,7.44889098743946,121,25.0833333333333,2,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Romero, Pedro Rodrigo",2009.07.03,South Point Hotel,1800,7.63121254423341,121,21.75,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Hinkey, Tyler L.",2009.07.10,Reno Events Centre,1500,7.44889098743946,258,26.6118721461182,5,0,4,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Carthron, Andrae M.",2009.07.10,Reno Events Centre,3000,8.1420381679994,222,28.1666666666665,2,2,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Brinkley, Jesse Lee",2009.07.10,Reno Events Centre,30000,10.4446232609935,175,32.6666666666665,33,5,22,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"Hinkey, Derek",2009.07.10,Reno Events Centre,1500,7.44889098743946,163,29.1666666666665,7,1,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Myers, Loren E.",2009.07.10,Reno Events Centre,2000,7.73657305989124,161,28.1666666666665,7,5,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Nugaev, Rustam R.",2009.07.10,Reno Events Centre,4180,8.47373712586796,137.25,26.8333333333333,19,5,11,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"Ziolowski, Tyler",2009.07.10,Reno Events Centre,4500,8.54750327610757,131,22.8333333333333,11,7,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Santa Cruz, Leo",2009.07.10,Reno Events Centre,2500,7.95971661120545,119,20.9166666666665,8,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Alexander, Scott",2009.07.17,Planet Hollywood,1000,7.0434258793313,232,20.25,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Lee, Benjamin L.",2009.07.17,Planet Hollywood,1500,7.44889098743946,213,25.5,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Bogere, Sharif",2009.07.17,Planet Hollywood,1000,7.0434258793313,137,20.75,10,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Lara, Erislandy",2009.07.17,Planet Hollywood,7500,9.05832889987356,155,26.25,6,0,4,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Boone, Darnell",2009.07.17,Planet Hollywood,5000,8.6528637917654,153,29.5,16,11,6,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"DeSpaigne, Yordanis",2009.07.17,Planet Hollywood,2666.67,8.02425638234224,180,29.4166666666665,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Rigondeaux, Guillermo",2009.07.17,Planet Hollywood,9000,9.24065045666752,123,28.8333333333333,1,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Guillen, Robert S.",2009.07.17,Planet Hollywood,2800,8.07304529651245,122,33.0833333333333,4,2,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Johnson, Yudel",2009.07.17,Planet Hollywood,2666.67,8.02425638234224,155,28.0833333333333,2,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
"Prescott, Breidis E.",2009.07.17,Planet Hollywood,5333.33,8.71740168790277,137,26.1666666666665,21,0,18,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"Vazquez, Migeul",2009.07.17,Planet Hollywood,10000,9.34601097232534,136,22.5,24,3,12,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"Bogere, Sharif",2009.08.07,Buffalo Bills Arena,2500,7.95971661120545,138,20.8333333333335,11,0,6,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Armenta, Rodolfo",2009.08.07,Buffalo Bills Arena,2500,7.95971661120545,139,25,7,1,5,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0
"Angulo, Alfredo",2009.08.07,Buffalo Bills Arena,15000,9.75147608043351,155,27,15,1,12,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"Rosado, Gabriel",2009.08.07,Buffalo Bills Arena,7500,9.05832889987356,154,23.5833333333335,12,3,7,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0
"Dirrell, Anthony",2009.08.07,Buffalo Bills Arena,4000,8.42972024045119,166.5,24.8333333333335,17,0,14,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0
"Contreras, Alfredo",2009.08.07,Buffalo Bills Arena,6000,8.83518534855935,166.5,24.4166666666667,11,5,4,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0
"Ganjelashvili, Sergi",2009.08.07,Buffalo Bills Arena,3000,8.1420381679994,132,27.3333333333335,4,3,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0
